,goodName,price,salesTip
0,【可水洗 夏季马桶贴】1-5对装马桶垫粘贴式马桶套坐便暖绒马桶圈,2.13,已拼10万+件
1,耐威克宠物营养品 犬猫通用羊奶粉/卵磷脂 狗狗钙片/微量元素用品,62.1,已拼26件
2,聚森冰裂茶具套装家用泡茶壶茶杯陶瓷冰裂釉旅行功夫茶具礼品特价,39,已拼5498件
3,聚森紫砂功夫茶具套装整套茶杯茶壶实木茶托盘全套自动电磁炉一体,118,已拼4727件
4,【雨季必备 正品迪士尼 儿童雨衣儿童雨披 充气帽檐带书包位设计,23.52,已拼1万件
5,冬季必备 发热书写垫 办公暖桌垫电热书写垫 速热 大规格及书写垫,23.92,已拼2.8万件
6,儿童连帽流苏透明雨衣EVA儿童时尚长帽包边雨衣日本韩版可爱雨披,12.8,已拼2423件
7,功夫茶具套装家用整套简约陶玉瓷浮雕泡茶壶茶杯陶瓷茶道配件特价,29.9,已拼618件
8,【雨季必备 正品天堂伞】雨伞超大加固防晒晴雨男女士两用伞,15.6,已拼1.1万件
9,御泥坊黑玫瑰光感睡莲洁面乳深层清洁提亮肤色泡沫男女洗面奶正品,39.9,已拼1万件
10,御泥坊玫瑰滋养睡眠面膜补水保湿锁水夜间修水油平衡护肤品正品女,49.9,已拼3651件
11,御泥坊竹炭净透矿物泥浆面膜110g,30,已拼1.1万件
12,【淡化细纹】御泥坊金桂花眼膜贴60片淡化细纹紧致补水眼纹眼贴,69.9,已拼2.5万件
13,御泥坊护肤品套装女清爽控油正品化妆品保湿补水化妆品水乳液套装,139.9,已拼2167件
14,耐威克狗粮通用型金毛哈士奇拉布拉多泰迪成犬幼犬5斤40大型犬粮,51.2,已拼1.1万件
15,【爆销35万】御泥坊美肌酵素面膜补水保湿提亮肤色正品清洁毛孔女,49.9,已拼10万+件
16,德芙丝滑牛奶巧克力16条-64条比碗装更便宜14g/条原装七夕礼盒,32.4,已拼1.9万件
17,御泥坊清透盈润黑白补水面膜保湿控油官网正品套装清洁面膜女,50.49,已拼2.8万件
18,耐威克狗狗罐头狗粮湿粮泰迪金毛比熊成犬幼犬通用型零食伴侣600g,35.9,已拼1315件
19,耐威克狗狗洗澡沐浴露通用泰迪金毛比熊专用杀菌除臭杀螨宠物用品,26.9,已拼761件
20,骏晴晴西湖藕粉杭州特产桂花莲子藕粉羹手工代餐早餐小袋装300g袋,11.8,已拼309件
21,营养热饮永饴360g手磨浓香黑芝麻糊/ 纯藕粉独立10小包营养代餐粉,9.9,已拼5679件
22,4条永亮毛巾纯棉洗脸成人纯棉成人吸水柔软加厚家用毛巾批发,28,已拼5044件
23,【限时特价】嗳呵草本婴儿洗衣液1L/2L/4L瓶装儿童衣物尿布洗衣液,15.9,已拼7721件
24,【赠2片】御泥坊黑膜补水保湿面膜贴套装清洁补水修护学生女正品,41.3,已拼5万件
25,【领券立减】赣南脐橙正宗江西橙子新鲜水果手剥橙应季甜橙子包邮,35.9,已拼10万+件
26,耐威克狗狗零食磨牙棒骨头耐咬 宠物泰迪新鲜火腿肠鸡胸肉大礼包,13.3,已拼2235件
27,安岳黄柠檬3斤精品独立包装(单果100-200g) 四川水果,17.8,已拼2279件
28,楼兰蜜语若羌灰枣礼盒1000g非新疆特级和田大枣红枣子箱装送礼,45.9,已拼791件
29,39农场系列新疆四色葡萄干2包3包 4包多规格可选多口味组合量贩装,41.1,已拼2.5万件
30,新鲜黄柠檬10个装【单果70-90克】,10.9,已拼10万+件
31,【百草味-即食柠檬片65gx4袋】水晶柠檬干 零食蜜饯水果干特产,22.9,已拼7506件
32,依旺儿童益智木质打地鼠玩具宝宝益智儿童木制玩具1-2-3-8岁,38.8,总售4020+件
33,韩束身体乳韩束护手霜3支组合装秋冬补水送妈妈礼物防干防裂正品,19.9,已拼1419件
34,进口阿根廷红虾2kg大规格L1号  野生捕捞大虾 约30只新鲜冷冻qc,169,已拼1797件
35,【小学作文入门彩绘注音版4册】学写作文 作文起步 好词好句好段,24.8,已拼6994件
36,韩束精华液眼膜7ml*8片去黑眼圈熊猫眼淡化眼部细纹,11.9,已拼390件
37,怡恩贝婴儿柔湿巾纸巾婴幼儿童新生大包装特价家用宝宝手口专用,19.9,已拼6.8万件
38,九阳多功能料理机辅食家用小型水果果汁搅拌机榨汁机【一机多用】,59.9,已拼10万+件
39,九阳面条机家用全自动智能压揉和面小型多功能电动一体机垂直出面,349,已拼2773件
40,熊孩子 芒果干泰国风味500g/108g水果干蜜饯果干果脯零食组合包邮,9.89,已拼10万+件
41,Nestle/雀巢 香浓巧克力味可可粉700g/袋,37.8,已拼441件
42,宝宝食物剪刀婴儿辅食剪刀研磨器食物剪工具多功能儿童辅食器餐具,9.9,已拼3060件
43,聚森功夫茶具套装家用茶盘紫砂泡茶壶杯陶瓷玻璃茶道配件实用茶台,68,已拼643件
44,熊孩子 蔬果组合444g/4袋装 综合蔬菜干果蔬脆组合休闲零食,39.9,已拼3.6万件
45,熊孩子 香菇脆片26g/4袋 脱水即食蔬菜干香菇脆零食小吃,28.9,已拼9387件
46,进口肉源儿童牛排10片套餐送刀叉+酱包+玉米粒肉汁丰盈qc,129,已拼6168件
47,楼兰蜜语39度系列六星和田大枣新疆特产骏枣红枣夹核桃干果零食,18.9,已拼9.3万件
48,功夫茶具套装家用整套紫砂泡茶壶杯陶瓷配件公道杯盖碗茶道六君子,9.9,已拼8757件
