,goodName,price,salesTip
0,【黄山毛峰】黄山毛峰2020新茶 明前特级嫩芽雀舌毛尖绿茶茶叶送礼散装 250克,95,已拼161件
1,2020年新茶 谢裕大原产地黄山毛峰雨前绿茶新茶320g白色礼盒春茶,147,已拼208件
2,【买一斤送半斤】黄山毛峰茶叶绿茶2020新茶茶叶 半斤/一斤多规格,35,已拼9651件
3,谢裕大 黄山毛峰特级雨前绿茶毛峰100g单听装,95,已拼102件
4,谢裕大 黄山毛峰明前头采茶叶75g,75.05,已拼33件
5,现售2020年新茶 明前特级毛峰 礼盒装毛峰黄山毛峰 250克绿茶包邮,108,已拼281件
6,【黄山毛峰】茶叶绿茶2020新茶黄山毛峰特级茶安徽毛峰明前嫩芽散茶礼盒高山茶,71.25,已拼58件
7,2020黄山毛峰安徽高山茶野茶批发浓香实惠口粮茶袋装250g~500g,39.9,已拼14件
8,黄山毛峰2020新茶明前特级毛尖绿茶250g兰花香型安徽高山手制茶叶,95,已拼101件
9,2020年新茶明前特级春芽毛峰茶叶 黄山毛峰嫩芽高山毛尖绿茶250克,168,已拼675件
10,黄山毛峰2020新茶安徽明前高山春茶特级嫩芽毛尖盒装散装绿茶茶叶,128,已拼384件
11,2020明前新茶叶特级春芽黄山毛峰明前嫩芽高山毛尖绿茶250克,98,已拼268件
12,纯手工2020新茶明前特级嫩芽黄山毛峰雀舌茶叶绿茶春茶125g/250g,95,已拼3402件
13,2020新茶黄山毛峰明前特级绿茶安徽春茶嫩芽开园茶叶250g,95,已拼2870件
14,2020新茶明前黄山毛峰特级嫩芽安徽毛峰高山绿茶叶罐装礼盒装250g,95,已拼224件
15,茶叶绿茶黄山毛峰2020新茶明前特级茶毛尖嫩芽安徽高山绿茶叶散装,76.26,已拼717件
16,2020新茶黄山茶叶绿茶毛峰明前特级茶毛尖嫩芽安徽高山绿茶叶罐装,86,已拼406件
17,2020新茶明前特级黄山毛峰特 一级绿茶手工安徽毛峰250g/500g,100,已拼1246件
18,【北京市卖得好】黄山毛峰嫩芽2020新茶叶特级 安徽明前雀舌高山毛尖绿茶春茶250g,190,已拼2338件
19,2020新茶春茶嫩芽安徽正宗黄山毛峰毛尖春茶绿茶250g罐装精品茶叶,98,已拼939件
20,2020新茶明前特级绿茶黄山毛峰茶叶嫩芽250g礼盒装罐装,104.96,已拼55件
