,goodName,price,salesTip
0,干香菇农家特产冬菇蘑菇金钱菇干货250克500g椴木香茹农家土特产,24.21,已拼63件
1,正宗四川大凉山德昌特产野生山珍新鲜蘑菇香菇野生食用菌空运包邮,93.1,已拼4件
2,花菇干货野生食用菌菇蘑菇特产香菇农家自产特级冬菇椴木香菇250g,26.8,总售8件
3,青海祁连山野生黄蘑菇干青藏蘑菇皇菇钉子菇香菇菌类食材50/250g,50,已拼13件
4,西村关嫂三峡特产远安香菇破片精选中碎片500克 五斤包邮,28.5,已拼2件
5,顺风包邮东北鲜香菇3斤火锅食材食用菌菇可晾干应季蔬菜农家蘑菇,19.9,已拼140件
6,香菇干货特级无根干香菇批发野生蘑菇椴木香茹干货农家土特产包邮,20.8,已拼378件
7,一斤农家土特产香菇 散装干货剪脚 西峡小香菇无脚金钱菇蘑菇500g,18.61,已拼9489件
8,陕西秦岭野生椴木香菇干货干香菇500g蘑菇冬菇农家自种香菇包邮,35.8,已拼2件
9,得艺厨即食油焖香菇 台湾饭团用香菇碎片 开袋即食饭团材料,30,已拼66件
10,买2发3】华药堂香菇粉调味料宝宝辅食熟纯手工干鲜菇粉,49.9,已拼22件
11,楚品源大花菇一斤农家干货特产干香菇剪脚冬菇菌菇干蘑菇新货500g,59.6,已拼3件
12,精选大别山特级香菇干货野生蘑菇批发椴木香菇金钱菇干货花菇冬菇,11.88,
13,山珍礼盒装香菇木耳野生菌干货农家河南土特产送高档年货礼盒包装,78.8,已拼4件
14,顺风包邮东北鲜香菇火锅食材食用菌菇可晾干应季蔬菜农家湿花蘑菇,9.9,已拼107件
15,富昌 香菇干货 小香菇干货208g 野生特产香菇 代料薄菇食用菇,24.9,已拼17件
16,香菇干货一斤 西峡农家土特产 金钱菇剪脚干香菇冬菇干货批发250g,17.37,已拼2494件
17,新货特级香菇干货 农家私厨蘑菇菌种南北干货 包邮,35,已拼6件
18,香菇脆片500g即食蘑菇干香菇干香菇脆零食,9.9,已拼9969件
19,2020年新货冬菇野生椴木蘑菇带根野生大片香菇大杯菇切丝大片冬菇,120,已拼7件
20,香菇干货一斤 肉厚无根 西峡小花菇干香菇冬菇金钱菇散装批发100g,9.76,已拼3709件
21,云南土特产礼盒装1380g野生菌 鸡枞菌松茸菌牛肝菌460g香菇下饭菜,18.74,已拼1.2万件
22,野生姬松茸巴西菌菇香菇蘑菇云南土特产干货特级野生菌煲汤料100g,21.8,总售10+件
23,2020年新货 金钱菇 西峡香菇 香菇干货蘑菇干香菇小香菇500g/250g,26.8,已拼1.2万件
24,香菇干货500g蘑菇一斤剪脚小干香菇特产农家冬菇批发金钱菇,14.8,已拼141件
25,黑面菇干货特级香菇新货野生蘑菇冬菇无根特产山货散装500g/100g,27.37,已拼850件
26,香菇干货特级干香菇100g新货野生蘑菇冬菇无根土特产山货散装包邮,11.5,已拼10万+件
27,东北特产野生香菇长白山深山特级纯野生香菇纯绿色纯天然东北干货,33.06,已拼298件
28,野生大花菇干货500g-5000g批发无根剪脚19年新货香菇干货干蘑菇,55.98,已拼3112件
29,2020年新货 西峡香菇 香菇干货 香菇 冬菇 干香菇蘑菇 500g/250g,26.8,已拼2.5万件
30,2020新货土特产栾川香菇小香菇金钱菇剪脚免摘200g/500g香气浓郁,29.9,已拼134件
31,新货上市香菇小碎片冬菇小片散装新鲜农家香菇小破片馅料5斤包邮,118,已拼335件
32,香菇干货特级干香菇新货野生蘑菇冬菇无根特产山货散装500g/100g,12.26,已拼10万+件
33,品牌直销 庄祺赞大小花菇干货500g/250g家用干香菇肉厚冬菇菌菇,29.9,总售840+件
34,神农架香菇干货500g特级干蘑菇批发一斤椴木香菇干湖北土农家特产,22.32,已拼1567件
35,东北长白山椴木香菇干货特产批发野生冬菇小香菇包邮蘑菇菌菇散装,27.46,总售950+件
36,【北京市爆卖】香菇干货土特产精选剪脚无根肉厚农家特产新蘑菇煲汤炖鸡山货食材,9.02,已拼2352件
37,【古田小香菇500g】特级野生金钱菇干货100g包邮剪脚无根农家特产,8.21,已拼9.1万件
38,农家干香菇 新货金钱菇肉厚冬菇特产 精选剪脚无根小香菇特产干货,17.45,已拼5.7万件
39,新货香菇 无根厚肉蘑菇香菇冬菇干货农家特产椴木野生100g/500g,9.03,已拼9.5万件
40,来自大山新货 双剪小香菇脚干货特价小香菇柄花菇根冬菇腿500g,52,已拼7件
41,香菇干货广西大瑶山金秀野生香菇土特产干蘑菇250g食堂餐馆食材,38,已拼81件
42,【大别山特级香菇】香菇干货野生蘑菇批发椴木香菇金钱菇花菇冬菇,11.88,已拼6件
43,东北新货花菇干货冬菇香菇菌菇精品批发野生椴木肉厚无根特级散装,33.25,总售1560+件
44,2020新货上市双剪大香菇脚干货冬菇花菇柄包子饺子馅汤料五斤批发,62.5,已拼229件
45,沂蒙山松菇 山蘑菇 香菇干货 炖鸡调料  250g 松蛾子 新货,28.8,已拼402件
46,新货东北特产榛蘑长白山干货野生包邮蘑菇小榛蘑丁香菇小鸡炖蘑菇,26.22,已拼5945件
47,云南特产油鸡枞菌牛肝菌松茸菌即食香辣500gx3瓶麻辣零食下饭菜,48,已拼1582件
48,贵州特产香菇脆网红零食批发香菇干好吃健康休闲食品果蔬脆小吃,18.91,已拼15件
49,黑木耳猴头香菇东北特产榛蘑800克礼盒装干货山珍大礼包虫草花,85,已拼3190件
50,云南特产油鸡枞菌牛肝菌松茸菌蘑菇鸡纵菌云南菌即食鸡枞菌,12.9,已拼1万件
51,特级椴木干香菇蘑菇小香菇金钱菇特产冬菇珍珠菇干货包邮,17.39,已拼859件
52,500g云南特产姬松茸干货A级仿野生种植松茸菌菇巴西蘑菇250g100g,19.9,已拼4.1万件
53,农家种植香菇农产品花菇广西土特产天然菇类干货精选特级椴木花菇,49.8,已拼7件
54,湖北【香菇干货】批发新货冬菇小香菇农家土特产煲汤食材无根肉厚,15.9,已拼68件
55,【竹山特产香菇250g】湖北干香菇木耳 野生椴木香菇干货 个头饱满,16.5,已拼70件
56,2019年福建古田金钱菇干香菇蘑菇小香菇肉厚冬菇香菇干货花菇批发,18.61,已拼786件
57,【野生大花菇】无根肉厚新货农家椴木野生香菇干货香茹蘑菇500g,35.8,已拼6315件
58,东北野生花菇香菇干货长白山椴木花菇特产蘑菇剪脚冬菇新货500g,109.65,已拼51件
59,【椴木大花菇500g】【肉厚个大无根】野生花菇干香菇干日晒干100g,17.8,已拼2.7万件
