,goodName,price,salesTip
0,【送茶点】新绿茶雨前特级黄山毛峰自产兰花香醇耐泡高山茶多规格,36,已拼10件
1,2020年新茶 谢裕大原产地黄山毛峰雨前绿茶新茶320g白色礼盒春茶,147,已拼210件
2,【一芽两叶黄山毛峰】2020特级茶叶礼盒装罐装茶新茶袋装茶叶250g,56.43,已拼1.4万件
3,谢裕大 黄山毛峰特级雨前绿茶毛峰100g单听装,95,已拼102件
4,谢裕大 黄山毛峰明前头采茶叶75g,75.05,已拼33件
5,安徽茶叶绿茶 2020新茶黄山毛峰 雨前散装浓香型高山嫩芽500g包邮,40,已拼4101件
6,【北京市热销】【买一斤送半斤】黄山毛峰茶叶绿茶2020新茶茶叶高山云雾茶多规格,35,已拼9651件
7,黄山毛峰2020新茶特级雨前高山绿茶250g500g毛尖茶叶袋装散装包邮,29.9,已拼617件
8,2020新茶 雨前黄山毛峰绿茶茶叶春茶散装茶叶毛尖茶罐装250g500g,49.9,已拼2.2万件
9,茶农自销2020新茶绿茶安徽茶叶黄山毛峰特级明前嫩芽毛尖茶礼盒装,51.8,已拼564件
10,茶叶黄山毛峰2020年新茶1875安徽特级绿茶明前毛尖罐装散装500g,226,总售260+件
11,2020新茶明前特级黄山毛峰特级绿茶手工安徽毛峰125g/250g/500g,100,已拼1.5万件
12,【黄山毛峰】黄山毛峰2020新茶 明前特级嫩芽雀舌毛尖绿茶茶叶送礼散装 250克,95,已拼161件
13,2020明前新茶叶特级春芽黄山毛峰明前嫩芽高山毛尖绿茶250克,98,已拼268件
14,茶农自销2020新茶绿茶安徽茶叶黄山毛峰特级春茶高山茶毛尖嫩芽茶,43,已拼1743件
15,绿茶雀舌茶叶 2020新茶明前嫩芽雀舌湄潭翠芽散装金罐礼盒装125g,43.46,已拼2931件
16,安徽黄山毛峰2020新茶特级明前嫩芽毛尖绿茶叶浓香耐泡散装礼盒装,188,已拼96件
17,安徽黄山毛峰茶叶 2020特级新茶明雨前绿茶嫩芽礼盒装,29.9,已拼2060件
18,纯手工2020新茶明前特级嫩芽黄山毛峰雀舌茶叶绿茶春茶125g/250g,95,已拼3402件
19,绿茶2020新茶黄山毛峰茶叶浓香型绿茶茶叶散装安徽茶叶250g,29,已拼4293件
20,现售2020年新茶 明前特级毛峰 礼盒装毛峰黄山毛峰 250克绿茶包邮,108,已拼281件
21,2020年明前新茶特级黄山毛峰嫩芽高山绿茶安徽毛峰散装礼盒装,76,已拼20件
22,黄山产地直发】2020新茶黄山毛峰明前茶叶安徽绿茶250/500克罐装,49,已拼787件
23,2020新茶明前特级绿茶黄山毛峰茶叶嫩芽250g礼盒装罐装,104.96,已拼55件
24,[一斤送水晶杯]2019毛峰新茶特级毛峰绿茶毛尖嫩芽春茶明前茶叶,108,已拼2716件
25,2020新茶黄山茶叶绿茶毛峰明前特级茶毛尖嫩芽安徽高山绿茶叶罐装,86,已拼406件
26,黄山毛峰2020新茶春茶绿茶特级明前安徽毛尖嫩芽多规格罐装礼盒装,19.8,已拼20件
27,黄山毛峰新茶特级嫩芽安徽茶叶500g毛尖绿茶2020新茶明前春茶袋装,115,总售200+件
28,黄山毛峰茶叶绿茶2020新茶安徽茶叶嫩芽明前黄山毛峰250g特级手工,82,已拼63件
29,【送泡茶五件套】黄山毛峰绿茶2020新茶安徽毛尖嫩芽散装茶叶250g,19.8,已拼1113件
30,【北京市热卖】安徽黄山毛峰 2020新茶叶礼盒 明前特级嫩芽,92,已拼3128件
31,安徽黄山毛峰茶叶 2020特级新茶明雨前绿茶嫩芽克散礼盒装,39,已拼1400件
32,【黄山市热销】2020绿茶黄山毛峰特级茶嫩芽月潭湖新茶500g,288,已拼10件
33,2020新茶黄山毛峰250g500g多规格春茶绿茶袋罐装茶叶,49.9,已拼2631件
34,【买1发2】茶叶绿茶黄山毛峰茶2020新茶安徽批发毛尖茶特级好嫩芽,69,总售3660+件
35,2020新茶明前特级黄山毛峰特 一级绿茶手工安徽毛峰250g/500g,100,已拼1246件
36,【黄山毛峰】2020新茶明前黄山毛峰特级嫩芽安徽毛峰高山绿茶叶罐装礼盒装250g,95,已拼224件
37,安徽黄山茶叶毛峰春茶2020新茶明前特级嫩芽礼盒罐装高山绿茶125g,100,已拼40件
38,黄山毛峰2020年新茶雨前春茶祁门牯牛降纯手工兰炒制富溪袋装茶叶,39,已拼31件
39,茶叶绿茶正宗黄山毛峰2020新茶特级明前头采绿茶散装茶叶250g,95,已拼162件
40,黄山毛峰2020新茶明前特级毛尖绿茶250g兰花香型安徽高山手制茶叶,95,已拼101件
41,黄山毛峰春茶2020年新茶叶特级雀舌安徽高山云雾毛尖嫩芽绿茶盒装,48,已拼1.4万件
42,【黄山毛峰】茶叶绿茶2020新茶黄山毛峰特级茶安徽毛峰明前嫩芽散茶礼盒高山茶,71.25,已拼58件
43,2020新茶茶叶徽六黄山毛峰绿茶毛尖非特级云雾绿茶口粮茶罐装200g,85,已拼15件
44,黄山毛峰新茶安徽绿茶300g嫩芽毛尖茶叶明前礼盒,178,已拼86件
45,【亏本试喝】2020新茶黄山毛峰绿茶茶叶雨前春茶毛尖茶罐装250g,19.98,已拼323件
46,祁野2020年新茶特级黄山毛峰春茶安徽绿茶毛尖茶叶罐装120g,98,总售1040+件
47,茶叶绿茶黄山毛峰2020新茶特级毛尖安徽高山云雾春茶125g散装茶,86,已拼78件
48,【北京市大卖】2019新茶安徽茶叶黄山毛峰特级绿茶明前嫩芽礼盒散装春茶250g罐装,99,已拼1246件
49,【买一送一】黄山毛峰2020新茶明前春茶手工绿茶罐装毛尖茶叶125g,99,已拼23件
50,2020黄山毛峰【一芽两叶】茶叶特级绿茶新茶礼盒装罐装袋装250g,56.43,已拼664件
51,谢裕大2020  黄山毛峰二级茶叶绿茶安徽黄山毛峰 袋装250g,78,已拼42件
52,2020新茶黄山毛峰猴坑雨前揉捻绿茶实惠袋装250g半斤装绿茶,66,已拼1025件
53,【2020新茶】 安徽黄山毛峰1875特级 绿茶毛峰新茶茶叶春茶礼盒装,39,已拼3002件
54,【北京市热销】2020黄山毛峰新茶叶好喝实惠,50,已拼2601件
55,2020新茶明前特级黄山毛峰特 一级绿茶手工安徽毛峰250g/500g,108,已拼8件
56,绿茶2020新茶嫩芽安徽黄山毛峰特级高山明前茶叶浓香型散装罐装,54.15,已拼229件
57,【买一送一】茶叶绿茶黄山毛峰2020新茶明前特级茶高山绿茶浓香型,36,已拼7540件
58,2020年特级散装新茶黄山毛峰黄金芽茶叶春茶毛尖明前嫩芽250g,59,已拼83件
59,茶叶2019黄山毛峰500g新茶春茶高山绿茶新茶正宗安徽特产黄山毛峰,38.9,已拼5113件
